,STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,Avg_june10days,maytojune
62,MIZORAM,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45,645.1,1788,336.3,1,155.9,116.3
63,MIZORAM,13.4,21.8,83,122.7,261.5,350.5,369.3,336.6,296.1,226.7,64.5,22.5,2168.6,35.2,467.2,1352.5,313.7,1,116.8333333,89
64,MIZORAM,13.4,40,131.6,183.5,316.4,437.6,431.9,453.2,369.8,219.8,49.9,12.9,2660,53.4,631.5,1692.5,282.6,1,145.8666667,121.2
65,MIZORAM,5.5,21.8,88,119.3,310.3,459.4,514.6,481.7,410.6,245.4,65.9,8.6,2731.1,27.3,517.6,1866.3,319.9,1,153.1333333,149.1
66,MIZORAM,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45,645.1,1788,336.3,1,155.9,116.3
67,MIZORAM,8.3,27.5,66.7,122.9,319.8,437.2,493.9,408.8,365.8,231.5,66,9.2,2557.6,35.8,509.4,1705.7,306.7,1,145.7333333,117.4
68,MIZORAM,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,2814.4,45,645.1,1788,336.3,1,155.9,116.3
69,MIZORAM,6.7,31,69.7,116.7,335.4,384.8,437.9,412.2,387.7,214.2,67.9,16.4,2480.6,37.7,521.8,1622.6,298.5,1,128.2666667,49.4
70,MIZORAM,15.4,33.8,103.6,150.9,294.3,395.9,477.1,430.7,346.7,167.3,71.6,18.5,2505.8,49.2,548.8,1650.4,257.4,1,131.9666667,101.6
71,NAGALAND,12.3,28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308,168.1,1,102.7333333,146.2
72,NAGALAND,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8,1,116.7666667,124.6
73,NAGALAND,23.4,31.1,60.9,138.3,287.1,525.5,525.1,394.2,231.3,137.3,43.1,12.5,2409.8,54.5,486.3,1676.1,192.9,1,175.1666667,238.4
74,NAGALAND,14.7,4.1,57.2,77.8,151.8,204.8,187.7,272,150.8,125,43.7,16.3,1305.9,18.8,286.8,815.3,185,1,68.26666667,53
75,NAGALAND,20.4,42.1,96.7,144.3,325.6,416.3,495.6,478.9,277.9,127.7,55.7,16.5,2497.7,62.5,566.6,1668.7,199.9,1,138.7666667,90.7
76,NAGALAND,13.1,33.5,48.2,137.9,193.9,271.1,273.6,177.4,101.8,62.1,19.8,7.5,1339.9,46.6,380,823.9,89.4,1,90.36666667,77.2
77,NAGALAND,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8,1,116.7666667,124.6
78,NAGALAND,12.3,28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308,168.1,1,102.7333333,146.2
79,NAGALAND,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8,1,116.7666667,124.6
80,NAGALAND,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,2080,50.5,468.6,1386.1,174.8,1,116.7666667,124.6
81,NAGALAND,12.3,28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,1824.8,41.1,307.6,1308,168.1,1,102.7333333,146.2
82,TRIPURA,13.6,37.2,118.4,272.8,440.1,477.5,402.7,367.7,279.8,173.8,45.1,13.1,2641.8,50.8,831.3,1527.7,232,1,159.1666667,37.4
83,TRIPURA,8.1,30.6,78.5,169.7,335,474.9,497.4,396.8,255.1,175.1,44.5,9.7,2475.4,38.7,583.2,1624.2,229.3,1,158.3,139.9
84,TRIPURA,9.6,27.9,72.1,194.2,359.9,426.6,395.9,323.2,250.6,174.9,41.5,10.3,2286.7,37.5,626.2,1396.3,226.7,1,142.2,66.7
85,TRIPURA,13.6,38.9,105.5,246.3,431.3,482.7,363.9,338.2,255.9,182.8,42.1,11.4,2512.6,52.5,783.1,1440.7,236.3,1,160.9,51.4
